name,category,address,roadAddress,district,latitude,longitude
이태원골목집,호프/통닭,대구광역시 달서구 두류동 490-3,"대구광역시 달서구 달구벌대로344길 15, 1층 11호 (두류동)",달서구,35.855444,128.553614
이판사판 조개판,정종/대포집/소주방,대구광역시 달서구 상인동 1552-5 (지상1층),"대구광역시 달서구 상인서로 18-3 (상인동,(지상1층))",달서구,35.812884,128.546555
이호수 인정한우 식육식당,식육(숯불구이),대구광역시 달서구 이곡동 1323-21 (지상1층),"대구광역시 달서구 선원로23길 51, 지상1층 (이곡동)",달서구,35.861389,128.505157
이호수인정한우식육식당,식육(숯불구이),대구광역시 달서구 용산동 938-3,"대구광역시 달서구 용산서로 46, 1층 (용산동)",달서구,35.857285,128.525541
이화국수,한식,대구광역시 달서구 이곡동 812-6,대구광역시 달서구 달구벌대로260길 33 (이곡동),달서구,35.849720,128.508956
이화국수,한식,대구광역시 달서구 파호동 0082-0005,대구광역시 달서구 호산로29길 25 (파호동),달서구,35.852383,128.476211
이화수모다아울렛점,한식,대구광역시 달서구 호림동 14-4,"대구광역시 달서구 성서공단로11길 12-8, 1층 (호림동)",달서구,35.835769,128.489104
이화청국장,한식,대구광역시 달서구 월성동 1396-0007,대구광역시 달서구 조암남로 93 (월성동),달서구,35.819665,128.523214
이화칼국수,한식,대구광역시 달서구 용산동 0573-0006 (지상1층),"대구광역시 달서구 선원로53길 25 (용산동,(지상1층))",달서구,35.860134,128.521622
이황연탄갈비,식육(숯불구이),대구광역시 달서구 이곡동 1202-18 (지상1층),"대구광역시 달서구 이곡서로 38 (이곡동,(지상1층))",달서구,35.854244,128.502783
이희석 이가네해장국,한식,대구광역시 달서구 신당동 1095-5,"대구광역시 달서구 달구벌대로 1158, 1층 (신당동)",달서구,35.850900,128.493942
인,한식,대구광역시 달서구 본동 611-5,"대구광역시 달서구 학산로7길 79, 1층 (본동)",달서구,35.835295,128.530575
인 더스크(in dusk),경양식,대구광역시 달서구 감삼동 124-31,"대구광역시 달서구 감삼남길 151, 1층 (감삼동)",달서구,35.849857,128.545112
인동촌 곰장어,한식,대구광역시 달서구 용산동 444-9,"대구광역시 달서구 성지로14길 23, 1층 (용산동)",달서구,35.855618,128.522221
인디언 실내포장마차,한식,대구광역시 달서구 성당동 265-7 (지상1층),"대구광역시 달서구 대명천로 51 (성당동,(지상1층))",달서구,35.837989,128.553835
인생술집,정종/대포집/소주방,대구광역시 달서구 신당동 1761-2,"대구광역시 달서구 성서서로 371-1, 지상1층 (신당동)",달서구,35.858253,128.499577
인생아구찜 달서점,한식,대구광역시 달서구 진천동 117-6,"대구광역시 달서구 월배로28길 17, 1층 (진천동)",달서구,35.815176,128.530210
인생아구찜 성서점,한식,대구광역시 달서구 신당동 1745-1,"대구광역시 달서구 선원로 36, 1층 (신당동)",달서구,35.858871,128.496146
인생역전포차,한식,대구광역시 달서구 월성동 1261-1,"대구광역시 달서구 조암남로10길 20, 1층 (월성동)",달서구,35.822215,128.527403
인생전복,한식,대구광역시 달서구 대곡동 1038-4,"대구광역시 달서구 화암로 333, 주건축물제1동 3층 (대곡동)",달서구,35.804181,128.519856
인생찜닭,한식,대구광역시 달서구 신당동 1780-3,"대구광역시 달서구 계대동문로9길 13-7, 1층 (신당동)",달서구,35.856017,128.496633
인생치킨,호프/통닭,대구광역시 달서구 송현동 1941-3,"대구광역시 달서구 앞산순환로49길 73, A동 1층 5호,6호 (송현동, 송경시장)",달서구,35.827203,128.551580
인생한우,식육(숯불구이),대구광역시 달서구 감삼동 461 월드마크웨스트엔드,"대구광역시 달서구 와룡로 169, 판매시설동 2층 상가-201,202,203호 (감삼동, 월드마크웨스트엔드)",달서구,35.848259,128.535979
인오션,정종/대포집/소주방,대구광역시 달서구 호산동 174-2,"대구광역시 달서구 달구벌대로203길 17, 주건축물제1동 1층 (호산동)",달서구,35.853710,128.477347
