adm_nm,stock,opened,closed,quarter,closure_rate,net
군위군 군위읍,130,6,0,2016Q1,0.0,6
군위군 부계면,93,0,0,2016Q1,0.0,0
군위군 산성면,11,0,0,2016Q1,0.0,0
군위군 삼국유사면,15,0,0,2016Q1,0.0,0
군위군 소보면,18,0,0,2016Q1,0.0,0
군위군 우보면,12,1,0,2016Q1,0.0,1
군위군 의흥면,27,0,0,2016Q1,0.0,0
군위군 효령면,36,0,0,2016Q1,0.0,0
남구 대명10동,186,1,2,2016Q1,0.0108,-1
남구 대명11동,135,3,2,2016Q1,0.0148,1
남구 대명1동,80,2,1,2016Q1,0.0125,1
남구 대명2동,198,6,4,2016Q1,0.0202,2
남구 대명3동,295,6,4,2016Q1,0.0136,2
남구 대명4동,168,3,2,2016Q1,0.0119,1
남구 대명5동,187,4,3,2016Q1,0.016,1
남구 대명6동,83,2,3,2016Q1,0.0361,-1
남구 대명9동,221,3,5,2016Q1,0.0226,-2
남구 봉덕1동,149,2,2,2016Q1,0.0134,0
남구 봉덕2동,134,4,0,2016Q1,0.0,4
남구 봉덕3동,215,3,3,2016Q1,0.014,0
남구 이천동,89,3,2,2016Q1,0.0225,1
달서구 감삼동,316,5,9,2016Q1,0.0285,-4
달서구 도원동,170,3,5,2016Q1,0.0294,-2
"달서구 두류1,2동",226,1,3,2016Q1,0.0133,-2
달서구 두류3동,262,3,0,2016Q1,0.0,3
달서구 본동,187,0,3,2016Q1,0.016,-3
달서구 본리동,224,4,2,2016Q1,0.0089,2
달서구 상인1동,230,5,1,2016Q1,0.0043,4
달서구 상인2동,403,10,9,2016Q1,0.0223,1
달서구 상인3동,124,1,0,2016Q1,0.0,1
달서구 성당동,274,5,5,2016Q1,0.0182,0
달서구 송현1동,219,2,3,2016Q1,0.0137,-1
달서구 송현2동,335,7,3,2016Q1,0.009,4
달서구 신당동,672,15,7,2016Q1,0.0104,8
달서구 용산1동,240,4,3,2016Q1,0.0125,1
달서구 용산2동,170,1,0,2016Q1,0.0,1
달서구 월성1동,183,21,4,2016Q1,0.0219,17
달서구 월성2동,65,1,1,2016Q1,0.0154,0
달서구 유천동,55,0,0,2016Q1,0.0,0
달서구 이곡1동,214,4,2,2016Q1,0.0093,2
달서구 이곡2동,231,6,4,2016Q1,0.0173,2
달서구 장기동,184,2,0,2016Q1,0.0,2
달서구 죽전동,193,1,2,2016Q1,0.0104,-1
달서구 진천동,437,10,4,2016Q1,0.0092,6
달성군 가창면,166,1,1,2016Q1,0.006,0
달성군 구지면,148,2,4,2016Q1,0.027,-2
달성군 논공읍,334,5,4,2016Q1,0.012,1
달성군 다사읍,583,14,6,2016Q1,0.0103,8
달성군 옥포읍,140,6,3,2016Q1,0.0214,3
달성군 유가읍,92,4,0,2016Q1,0.0,4
달성군 하빈면,64,2,1,2016Q1,0.0156,1
달성군 현풍읍,322,25,2,2016Q1,0.0062,23
달성군 화원읍,398,10,3,2016Q1,0.0075,7
동구 공산동,292,0,11,2016Q1,0.0377,-11
동구 도평동,30,1,1,2016Q1,0.0333,0
동구 동촌동,155,5,5,2016Q1,0.0323,0
동구 방촌동,185,6,4,2016Q1,0.0216,2
동구 불로·봉무동,272,5,4,2016Q1,0.0147,1
동구 신암1동,172,2,3,2016Q1,0.0174,-1
동구 신암2동,83,2,3,2016Q1,0.0361,-1
동구 신암3동,91,4,3,2016Q1,0.033,1
동구 신암4동,211,4,4,2016Q1,0.019,0
동구 신암5동,82,2,1,2016Q1,0.0122,1
동구 신천1·2동,97,1,2,2016Q1,0.0206,-1
동구 신천3동,151,3,1,2016Q1,0.0066,2
동구 신천4동,301,5,4,2016Q1,0.0133,1
동구 안심1동,479,14,13,2016Q1,0.0271,1
동구 안심2동,45,3,0,2016Q1,0.0,3
동구 안심3동,163,5,3,2016Q1,0.0184,2
동구 안심4동,157,4,1,2016Q1,0.0064,3
동구 지저동,154,4,7,2016Q1,0.0455,-3
동구 해안동,130,3,3,2016Q1,0.0231,0
동구 혁신동,120,19,2,2016Q1,0.0167,17
동구 효목1동,249,4,7,2016Q1,0.0281,-3
동구 효목2동,189,3,2,2016Q1,0.0106,1
북구 검단동,56,0,2,2016Q1,0.0357,-2
북구 고성동,124,2,2,2016Q1,0.0161,0
북구 관문동,152,10,0,2016Q1,0.0,10
북구 관음동,167,0,1,2016Q1,0.006,-1
북구 구암동,371,4,4,2016Q1,0.0108,0
북구 국우동,205,4,6,2016Q1,0.0293,-2
북구 노원동,434,5,3,2016Q1,0.0069,2
북구 대현동,241,4,4,2016Q1,0.0166,0
북구 동천동,347,5,3,2016Q1,0.0086,2
북구 무태조야동,257,7,2,2016Q1,0.0078,5
북구 복현1동,155,2,2,2016Q1,0.0129,0
북구 복현2동,160,3,2,2016Q1,0.0125,1
북구 산격1동,92,1,1,2016Q1,0.0109,0
북구 산격2동,219,3,2,2016Q1,0.0091,1
북구 산격3동,434,8,8,2016Q1,0.0184,0
북구 산격4동,54,1,0,2016Q1,0.0,1
북구 읍내동,226,5,1,2016Q1,0.0044,4
북구 칠성동,265,8,4,2016Q1,0.0151,4
북구 침산1동,65,0,1,2016Q1,0.0154,-1
북구 침산2동,94,3,2,2016Q1,0.0213,1
북구 침산3동,102,2,1,2016Q1,0.0098,1
북구 태전1동,277,3,6,2016Q1,0.0217,-3
북구 태전2동,237,10,8,2016Q1,0.0338,2
서구 내당1동,191,1,5,2016Q1,0.0262,-4
서구 내당2·3동,131,1,1,2016Q1,0.0076,0
서구 내당4동,228,5,0,2016Q1,0.0,5
서구 비산1동,71,2,0,2016Q1,0.0,2
서구 비산2·3동,176,2,4,2016Q1,0.0227,-2
서구 비산4동,91,1,0,2016Q1,0.0,1
서구 비산5동,117,2,1,2016Q1,0.0085,1
서구 비산6동,63,3,0,2016Q1,0.0,3
서구 비산7동,296,5,3,2016Q1,0.0101,2
서구 상중이동,232,1,1,2016Q1,0.0043,0
서구 원대동,169,1,4,2016Q1,0.0237,-3
