close,폐업수
2016-01,160
2016-02,131
2016-03,158
2016-04,181
2016-05,184
2016-06,147
2016-07,169
2016-08,202
2016-09,147
2016-10,170
2016-11,174
2016-12,186
2017-01,195
2017-02,190
2017-03,199
2017-04,155
2017-05,172
2017-06,183
2017-07,206
2017-08,169
2017-09,156
2017-10,116
2017-11,191
2017-12,262
2018-01,239
2018-02,151
2018-03,176
2018-04,214
2018-05,187
2018-06,175
2018-07,268
2018-08,215
2018-09,231
2018-10,204
2018-11,171
2018-12,254
2019-01,227
2019-02,144
2019-03,184
2019-04,195
2019-05,224
2019-06,223
2019-07,265
2019-08,171
2019-09,211
2019-10,189
2019-11,215
2019-12,253
2020-01,257
2020-02,214
2020-03,221
2020-04,221
2020-05,231
2020-06,213
2020-07,182
2020-08,210
2020-09,189
2020-10,203
2020-11,286
2020-12,364
2021-01,207
2021-02,156
2021-03,158
2021-04,245
2021-05,178
2021-06,247
2021-07,150
2021-08,143
2021-09,188
2021-10,212
2021-11,308
2021-12,355
2022-01,198
2022-02,148
2022-03,187
2022-04,150
2022-05,112
2022-06,249
2022-07,240
2022-08,215
2022-09,265
2022-10,305
2022-11,377
2022-12,389
2023-01,240
2023-02,254
2023-03,291
2023-04,227
2023-05,223
2023-06,275
2023-07,205
2023-08,213
2023-09,285
2023-10,293
2023-11,285
2023-12,405
2024-01,269
2024-02,197
2024-03,244
2024-04,216
2024-05,304
2024-06,200
2024-07,261
2024-08,188
2024-09,253
2024-10,285
2024-11,316
2024-12,595
2025-01,197
2025-02,237
2025-03,289
2025-04,206
2025-05,230
2025-06,223
2025-07,289
2025-08,167
2025-09,340
2025-10,292
2025-11,349
2025-12,750
2026-01,331
2026-02,212
2026-03,255
2026-04,238
2026-05,236
2026-06,225
2026-07,358
2026-08,246
2026-09,96
