adm_nm,stock,opened,closed,quarter,closure_rate,net
서구 평리4동,347,7,5,2017Q3,0.0144,2
서구 평리5동,77,1,0,2017Q3,0.0,1
서구 평리6동,68,1,0,2017Q3,0.0,1
수성구 고산1동,285,3,4,2017Q3,0.014,-1
수성구 고산2동,201,1,6,2017Q3,0.0299,-5
수성구 고산3동,229,6,3,2017Q3,0.0131,3
수성구 두산동,514,6,8,2017Q3,0.0156,-2
수성구 만촌1동,166,3,2,2017Q3,0.012,1
수성구 만촌2동,125,3,2,2017Q3,0.016,1
수성구 만촌3동,151,4,6,2017Q3,0.0397,-2
수성구 범물1동,105,2,2,2017Q3,0.019,0
수성구 범물2동,69,2,1,2017Q3,0.0145,1
수성구 범어1동,238,5,2,2017Q3,0.0084,3
수성구 범어2동,149,1,2,2017Q3,0.0134,-1
수성구 범어3동,233,5,3,2017Q3,0.0129,2
수성구 범어4동,188,2,3,2017Q3,0.016,-1
수성구 상동,200,5,2,2017Q3,0.01,3
수성구 수성1가동,105,3,0,2017Q3,0.0,3
수성구 수성2·3가동,163,3,3,2017Q3,0.0184,0
수성구 수성4가동,167,4,1,2017Q3,0.006,3
수성구 중동,153,3,4,2017Q3,0.0261,-1
수성구 지산1동,339,7,6,2017Q3,0.0177,1
수성구 지산2동,163,3,1,2017Q3,0.0061,2
수성구 파동,88,2,4,2017Q3,0.0455,-2
수성구 황금1동,71,4,1,2017Q3,0.0141,3
수성구 황금2동,211,6,3,2017Q3,0.0142,3
중구 남산1동,121,10,5,2017Q3,0.0413,5
중구 남산2동,72,1,0,2017Q3,0.0,1
중구 남산3동,38,0,1,2017Q3,0.0263,-1
중구 남산4동,78,3,4,2017Q3,0.0513,-1
중구 대봉1동,232,8,0,2017Q3,0.0,8
중구 대봉2동,55,2,0,2017Q3,0.0,2
중구 대신동,121,3,0,2017Q3,0.0,3
중구 동인동,260,10,3,2017Q3,0.0115,7
중구 삼덕동,508,27,10,2017Q3,0.0197,17
중구 성내1동,501,18,17,2017Q3,0.0339,1
중구 성내2동,524,21,5,2017Q3,0.0095,16
중구 성내3동,84,3,0,2017Q3,0.0,3
