quarter,emp_yoy,prod_yoy,firms_yoy,excess,cluster
2018Q2,,,,-0.004382606764088919,성서산단
2018Q3,,,,-0.0050666387077200874,성서산단
2018Q4,,,,-0.0059562565508683015,성서산단
2019Q1,,,,-0.004678387677001759,성서산단
2019Q2,-0.02271199560018744,-0.47364819561989735,0.03229713362939046,-0.005494162724062759,성서산단
2019Q3,-0.01604387508697258,-0.004894353085490577,0.0259688373951259,-0.005903607848532771,성서산단
2019Q4,-0.035627796248409505,-0.026818193262193923,0.015109343936381636,-0.005248918727595743,성서산단
2020Q1,-0.04875833453749767,-0.056150793482941275,0.009912767644726372,-0.007176855423411253,성서산단
2020Q2,-0.060882070949185074,-0.1303378489102529,0.005475166210402893,-0.007361920807775103,성서산단
2020Q3,-0.06449398943471574,-0.07636793359956506,0.012071651090342694,-0.005725454184474744,성서산단
2020Q4,-0.04713768886997238,-0.05579349117199517,0.017234625930278025,-0.006004412140992834,성서산단
2021Q1,-0.03808511100019529,0.04248092142432247,0.03140950137416576,-0.0043078247861499525,성서산단
2021Q2,-0.016734358701200658,0.13497568134474758,0.03033838973162184,-0.002679110102913484,성서산단
2021Q3,-0.01936373135323799,0.06629843012219228,0.0280877260484802,-0.0029041816801539657,성서산단
2021Q4,-0.020167504187604712,0.06655769784308307,0.028109356950327236,-0.003150804967434596,성서산단
2022Q1,-0.013107431304426265,0.04443312719637893,0.022839741149600412,-0.0029019494822937297,성서산단
2022Q2,-0.021759248809335663,0.059347232736980615,0.018120045300113352,-0.004035485575678309,성서산단
2022Q3,-0.01664021763772383,0.07421581400189092,0.013098802395209663,-0.003958153547395728,성서산단
2022Q4,-0.008775528811086786,0.09592846275132905,0.014981273408239737,-0.0069554322312759135,성서산단
2023Q1,-0.008320950965824636,0.04869488146573908,0.007443245254931119,-0.008808580532639311,성서산단
2023Q2,-0.007729758416207155,0.01753060705816223,0.008157211716722346,-0.007645504040248131,성서산단
2023Q3,-0.0021670970121726585,0.024269765909376906,0.004802364240857004,-0.008713665746672736,성서산단
2023Q4,-0.012486490215466661,-0.03829353596986662,-0.0014760147601475815,-0.006848267079514035,성서산단
2024Q1,0.0025817754316406205,-0.03441107300189128,-0.008496490579977811,-0.002732369780359991,성서산단
2024Q2,-0.017789042879732153,0.08763536557754703,0.011033468186833373,-0.0031849736713908663,성서산단
2024Q3,-0.023289127119818898,0.08913360817048988,0.012499999999999956,-0.002034089189408993,성서산단
2024Q4,0.00877887481371098,0.09460766006072596,0.07058388765705836,0.0015551214597659072,성서산단
