adm_nm,year,stock,closed,opened,rate
수성구 수성4가동,2021,172,12,17,0.07
수성구 수성4가동,2022,177,14,19,0.079
수성구 수성4가동,2023,182,12,17,0.066
수성구 수성4가동,2024,187,16,15,0.086
수성구 수성4가동,2025,186,4,3,0.022
수성구 중동,2016,158,12,4,0.076
수성구 중동,2017,150,7,8,0.047
수성구 중동,2018,151,9,8,0.06
수성구 중동,2019,150,12,15,0.08
수성구 중동,2020,153,17,27,0.111
수성구 중동,2021,163,19,18,0.117
수성구 중동,2022,162,22,22,0.136
수성구 중동,2023,162,18,11,0.111
수성구 중동,2024,155,12,12,0.077
수성구 중동,2025,155,7,13,0.045
수성구 지산1동,2016,333,27,31,0.081
수성구 지산1동,2017,337,26,30,0.077
수성구 지산1동,2018,341,18,28,0.053
수성구 지산1동,2019,351,16,27,0.046
수성구 지산1동,2020,362,34,30,0.094
수성구 지산1동,2021,358,22,36,0.061
수성구 지산1동,2022,372,28,23,0.075
수성구 지산1동,2023,367,30,14,0.082
수성구 지산1동,2024,351,23,24,0.066
수성구 지산1동,2025,352,19,8,0.054
수성구 지산2동,2016,166,11,10,0.066
수성구 지산2동,2017,165,14,15,0.085
수성구 지산2동,2018,166,16,11,0.096
수성구 지산2동,2019,161,11,13,0.068
수성구 지산2동,2020,163,11,5,0.067
수성구 지산2동,2021,157,20,8,0.127
수성구 지산2동,2022,145,9,6,0.062
수성구 지산2동,2023,142,14,23,0.099
수성구 지산2동,2024,151,15,13,0.099
수성구 지산2동,2025,149,10,8,0.067
수성구 파동,2016,80,4,11,0.05
수성구 파동,2017,87,15,13,0.172
수성구 파동,2018,85,6,11,0.071
수성구 파동,2019,90,14,9,0.156
수성구 파동,2020,85,13,5,0.153
수성구 파동,2021,77,6,11,0.078
수성구 파동,2022,82,2,8,0.024
수성구 파동,2023,88,9,8,0.102
수성구 파동,2024,87,12,11,0.138
수성구 파동,2025,86,2,3,0.023
수성구 황금1동,2016,76,6,6,0.079
수성구 황금1동,2017,76,12,11,0.158
수성구 황금1동,2018,75,13,9,0.173
수성구 황금1동,2019,71,4,7,0.056
수성구 황금1동,2020,74,10,5,0.135
수성구 황금1동,2021,69,4,8,0.058
수성구 황금1동,2022,73,6,9,0.082
수성구 황금1동,2023,76,9,9,0.118
수성구 황금1동,2024,76,3,4,0.039
수성구 황금1동,2025,77,6,2,0.078
수성구 황금2동,2016,200,19,24,0.095
수성구 황금2동,2017,205,13,26,0.063
수성구 황금2동,2018,218,29,17,0.133
수성구 황금2동,2019,206,15,24,0.073
수성구 황금2동,2020,215,23,25,0.107
수성구 황금2동,2021,217,20,20,0.092
수성구 황금2동,2022,217,13,25,0.06
수성구 황금2동,2023,229,26,30,0.114
수성구 황금2동,2024,233,26,23,0.112
수성구 황금2동,2025,230,13,10,0.057
중구 남산1동,2016,116,7,9,0.06
중구 남산1동,2017,118,7,18,0.059
중구 남산1동,2018,129,16,16,0.124
중구 남산1동,2019,129,9,13,0.07
중구 남산1동,2020,133,12,11,0.09
중구 남산1동,2021,132,13,14,0.098
중구 남산1동,2022,133,7,9,0.053
중구 남산1동,2023,135,13,15,0.096
중구 남산1동,2024,137,19,16,0.139
중구 남산1동,2025,134,6,9,0.045
중구 남산2동,2016,69,5,8,0.072
중구 남산2동,2017,72,3,6,0.042
중구 남산2동,2018,75,4,9,0.053
중구 남산2동,2019,80,5,10,0.062
중구 남산2동,2020,85,3,6,0.035
중구 남산2동,2021,88,6,10,0.068
중구 남산2동,2022,92,9,9,0.098
중구 남산2동,2023,92,10,9,0.109
중구 남산2동,2024,91,7,6,0.077
중구 남산2동,2025,90,4,1,0.044
중구 남산3동,2016,32,2,8,0.062
중구 남산3동,2017,38,5,5,0.132
중구 남산3동,2018,38,4,5,0.105
중구 남산3동,2019,39,5,10,0.128
중구 남산3동,2020,44,6,6,0.136
중구 남산3동,2021,44,7,8,0.159
중구 남산3동,2022,45,3,4,0.067
중구 남산3동,2023,46,4,3,0.087
중구 남산3동,2024,45,10,6,0.222
중구 남산3동,2025,41,0,2,0.0
중구 남산4동,2016,84,6,2,0.071
중구 남산4동,2017,80,10,7,0.125
중구 남산4동,2018,77,14,10,0.182
중구 남산4동,2019,73,12,4,0.164
중구 남산4동,2020,65,7,6,0.108
중구 남산4동,2021,64,2,9,0.031
중구 남산4동,2022,71,12,6,0.169
중구 남산4동,2023,65,9,11,0.138
중구 남산4동,2024,67,5,8,0.075
중구 남산4동,2025,70,7,3,0.1
중구 대봉1동,2016,200,24,40,0.12
중구 대봉1동,2017,216,12,35,0.056
중구 대봉1동,2018,239,29,21,0.121
중구 대봉1동,2019,231,30,23,0.13
중구 대봉1동,2020,224,36,19,0.161
중구 대봉1동,2021,207,15,20,0.072
중구 대봉1동,2022,212,26,39,0.123
중구 대봉1동,2023,225,29,29,0.129
중구 대봉1동,2024,225,32,22,0.142
중구 대봉1동,2025,215,7,10,0.033
중구 대봉2동,2016,56,7,7,0.125
중구 대봉2동,2017,56,2,5,0.036
중구 대봉2동,2018,59,3,1,0.051
중구 대봉2동,2019,57,5,9,0.088
중구 대봉2동,2020,61,5,7,0.082
중구 대봉2동,2021,63,5,7,0.079
중구 대봉2동,2022,65,11,11,0.169
중구 대봉2동,2023,65,6,9,0.092
중구 대봉2동,2024,68,6,7,0.088
중구 대봉2동,2025,69,4,4,0.058
중구 대신동,2016,105,8,20,0.076
중구 대신동,2017,117,7,14,0.06
중구 대신동,2018,124,11,10,0.089
중구 대신동,2019,123,6,10,0.049
중구 대신동,2020,127,10,14,0.079
중구 대신동,2021,131,9,12,0.069
중구 대신동,2022,134,9,14,0.067
중구 대신동,2023,139,14,7,0.101
중구 대신동,2024,132,8,10,0.061
중구 대신동,2025,134,4,7,0.03
중구 동인동,2016,236,17,31,0.072
중구 동인동,2017,250,9,29,0.036
중구 동인동,2018,270,21,43,0.078
중구 동인동,2019,292,29,31,0.099
중구 동인동,2020,294,40,34,0.136
중구 동인동,2021,288,16,30,0.056
중구 동인동,2022,302,26,34,0.086
중구 동인동,2023,310,40,24,0.129
중구 동인동,2024,294,38,29,0.129
중구 동인동,2025,285,12,14,0.042
중구 삼덕동,2016,487,49,62,0.101
중구 삼덕동,2017,500,34,68,0.068
중구 삼덕동,2018,534,37,57,0.069
중구 삼덕동,2019,554,52,63,0.094
중구 삼덕동,2020,565,50,50,0.088
중구 삼덕동,2021,565,35,49,0.062
중구 삼덕동,2022,579,50,44,0.086
중구 삼덕동,2023,573,52,49,0.091
중구 삼덕동,2024,570,73,51,0.128
중구 삼덕동,2025,548,25,22,0.046
중구 성내1동,2016,458,37,54,0.081
중구 성내1동,2017,475,41,75,0.086
중구 성내1동,2018,509,45,61,0.088
중구 성내1동,2019,525,45,77,0.086
중구 성내1동,2020,557,64,64,0.115
중구 성내1동,2021,557,51,74,0.092
중구 성내1동,2022,580,46,89,0.079
중구 성내1동,2023,623,62,98,0.1
중구 성내1동,2024,659,75,115,0.114
중구 성내1동,2025,699,42,50,0.06
중구 성내2동,2016,484,35,52,0.072
중구 성내2동,2017,501,34,76,0.068
중구 성내2동,2018,543,36,62,0.066
중구 성내2동,2019,569,49,41,0.086
중구 성내2동,2020,561,61,66,0.109
